rank,name,authorId,score,seed_overlap,paperCount,citationCount,hIndex,firstPubYear,affiliations,homepage,surfaced_via
1,Marc Fischer,2307472727,49.68,4,5,182,3,2024,,,Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ Beat Buesser Ana-Maria Crectu | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ David Froelicher | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ Daniel Naeff | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ V'aclav Volhejn
2,Daniel Fabian,2356412611,49.39,4,5,211,3,2022,,,Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ Beat Buesser Ana-Maria Crectu | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ David Froelicher | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ Daniel Naeff | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ V'aclav Volhejn
3,Kathrin Grosse,2275616857,47.69,4,10,81,3,2023,,,Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ Beat Buesser Ana-Maria Crectu | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ David Froelicher | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ Daniel Naeff | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ V'aclav Volhejn
4,Guanying Li,2108255930,43.46,3,3,54,2,2022,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou | A Progressive Framework for Role-Aware Rumor Resolution (2022) w/ Baohua Zhou
5,Shiyue Yang,2325204830,42.65,3,3,85,3,2024,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou
6,Yue Chen,2328013580,41.57,3,4,93,3,2024,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents (2024) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou
7,Jingxuan Huang,2145739639,40.99,3,6,51,1,2019,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou
8,Luca Beurer-Kellner,2150869869,40.5,4,16,640,9,2020,,,Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ Beat Buesser Ana-Maria Crectu | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ David Froelicher | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ Daniel Naeff | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ V'aclav Volhejn
9,A. Paverd,2304450719,39.79,4,11,221,6,1989,,,Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ Beat Buesser Ana-Maria Crectu | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ David Froelicher | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ Daniel Naeff | Design Patterns for Securing LLM Agents against Prompt Injections (2025) w/ V'aclav Volhejn
10,Yihang Yang,2325207867,38.94,3,6,106,4,2024,,,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Ling Yan | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Shiping Tang | ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents (2024) w/ Shiping Tang | SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users (2025) w/ Baohua Zhou
